Disease,Defect,Cause ID,Cause Name,TrueCause Name,RoadType
Cracking,Transverse cracking,1,Frost heave,Frost heave,Asphalt
Cracking,Transverse cracking,17,Load induced by heavy traffic,Load induced by heavy traffic,Asphalt
Cracking,Longitudinal cracking,1,Frost heave,Frost heave,Asphalt
Cracking,Longitudinal cracking,17,Load induced by heavy traffic,Load induced by heavy traffic,Asphalt
Cracking,Edge cracking,1,Frost heave,Frost heave,Asphalt
Cracking,Edge cracking,3,Weak asphalt mixes,Weak asphalt mixes,Asphalt
Cracking,Edge cracking,6,"Base failure due to poor quality materials, lack of strength, or insufficient granularity","Base failure due to poor quality materials, lack of strength, or insufficient granularity",Asphalt
Cracking,Edge cracking,13,Insufficient base structure,Insufficient base structure,Asphalt
Cracking,Edge cracking,20,Poor drainage - excess moisture,Poor drainage - excess moisture,Asphalt
Cracking,Block cracking,10,Fine aggregate mix with low penetration asphalt and absorptive aggregates,Fine aggregate mix with low penetration asphalt and absorptive aggregates,Asphalt
Cracking,Block cracking,14,Improper compaction,Improper compaction,Asphalt
Cracking,Block cracking,18,Low traffic volume,Low traffic volume,Asphalt
Cracking,Alligator cracking,6,"Base failure due to poor quality materials, lack of strength, or insufficient granularity","Base failure due to poor quality materials, lack of strength, or insufficient granularity",Asphalt
Cracking,Alligator cracking,13,Insufficient base structure,Insufficient base structure,Asphalt
Cracking,Alligator cracking,14,Improper compaction,Improper compaction,Asphalt
Cracking,Alligator cracking,20,Poor drainage - excess moisture,Poor drainage - excess moisture,Asphalt
Disintegration,Pothole,3,Weak asphalt mixes,Weak asphalt mixes,Asphalt
Disintegration,Pothole,20,Poor drainage - excess moisture,Poor drainage - excess moisture,Asphalt
Disintegration,Pothole,22,Continued deterioration of another defect type,Continued deterioration of another defect type,Asphalt
Disintegration,Patches,6,"Base failure due to poor quality materials, lack of strength, or insufficient granularity","Base failure due to poor quality materials, lack of strength, or insufficient granularity",Asphalt
Disintegration,Patches,12,Improper or inferior materials,Improper or inferior materials,Asphalt
Surface deformation,Shoving,5,Mix too high in asphalt,Mix too high in asphalt,Asphalt
Surface deformation,Shoving,7,High fine aggregate content,High fine aggregate content,Asphalt
Surface deformation,Shoving,15,Rounded or smooth aggregate,Rounded or smooth aggregate,Asphalt
Surface deformation,Shoving,19,Heavy loaded vehicles speeding up or slowing down,Heavy loaded vehicles speeding up or slowing down,Asphalt
Surface deformation,Shoving,21,Excessive moisture on the basis,Excessive moisture on the basis,Asphalt
