Disease,Defect,Severity,SeverityName,RepairStratCategory,RepairStrat,RepairStratName,LifetimeMinYears,LifetimeMaxYears,LifetimeMean,RoadType
Cracking,Alligator cracking,1,Low,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Alligator cracking,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Alligator cracking,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Alligator cracking,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Alligator cracking,2,Medium,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Cracking,Alligator cracking,2,Medium,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Cracking,Alligator cracking,2,Medium,Patching,i,Spray injection,5,5,5,Asphalt
Cracking,Alligator cracking,2,Medium,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Cracking,Alligator cracking,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Alligator cracking,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Alligator cracking,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Cracking,Alligator cracking,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Cracking,Alligator cracking,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Cracking,Alligator cracking,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Cracking,Alligator cracking,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Block cracking,1,Low,Crack sealing,a,Rout and seal,3,5,4,Asphalt
Cracking,Block cracking,1,Low,Crack sealing,b,Clean and seal,3,5,4,Asphalt
Cracking,Block cracking,1,Low,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Block cracking,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Block cracking,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Block cracking,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Block cracking,2,Medium,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Block cracking,2,Medium,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Block cracking,2,Medium,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Cracking,Block cracking,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Block cracking,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Block cracking,3,High,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Block cracking,3,High,Filling,d,Rubberised fillers,2,3,2.5,Asphalt
Cracking,Block cracking,3,High,Filling,e,Microsurfacing material,2,3,2.5,Asphalt
Cracking,Block cracking,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Cracking,Block cracking,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Cracking,Block cracking,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Cracking,Block cracking,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Cracking,Block cracking,3,High,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Block cracking,3,High,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Cracking,Block cracking,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Edge cracking,1,Low,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Edge cracking,1,Low,Filling,d,Rubberised fillers,2,3,2.5,Asphalt
Cracking,Edge cracking,1,Low,Filling,e,Microsurfacing material,2,3,2.5,Asphalt
Cracking,Edge cracking,1,Low,Sealing,k,Slurry seal,3,5,4,Asphalt
Cracking,Edge cracking,1,Low,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Edge cracking,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Edge cracking,1,Low,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Cracking,Edge cracking,1,Low,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Cracking,Edge cracking,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Edge cracking,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Edge cracking,2,Medium,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Edge cracking,2,Medium,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Edge cracking,2,Medium,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Cracking,Edge cracking,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Edge cracking,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Edge cracking,3,High,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Edge cracking,3,High,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Cracking,Edge cracking,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Longitudinal cracking,1,Low,Crack sealing,a,Rout and seal,3,5,4,Asphalt
Cracking,Longitudinal cracking,1,Low,Crack sealing,b,Clean and seal,3,5,4,Asphalt
Cracking,Longitudinal cracking,1,Low,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Longitudinal cracking,1,Low,Filling,d,Rubberised fillers,2,3,2.5,Asphalt
Cracking,Longitudinal cracking,1,Low,Filling,e,Microsurfacing material,2,3,2.5,Asphalt
Cracking,Longitudinal cracking,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Longitudinal cracking,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Longitudinal cracking,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Longitudinal cracking,2,Medium,Crack sealing,a,Rout and seal,3,5,4,Asphalt
Cracking,Longitudinal cracking,2,Medium,Crack sealing,b,Clean and seal,3,5,4,Asphalt
Cracking,Longitudinal cracking,2,Medium,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Longitudinal cracking,2,Medium,Filling,d,Rubberised fillers,2,3,2.5,Asphalt
Cracking,Longitudinal cracking,2,Medium,Filling,e,Microsurfacing material,2,3,2.5,Asphalt
Cracking,Longitudinal cracking,2,Medium,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Longitudinal cracking,2,Medium,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Longitudinal cracking,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Longitudinal cracking,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Longitudinal cracking,3,High,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Longitudinal cracking,3,High,Filling,d,Rubberised fillers,2,3,2.5,Asphalt
Cracking,Longitudinal cracking,3,High,Filling,e,Microsurfacing material,2,3,2.5,Asphalt
Cracking,Longitudinal cracking,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Longitudinal cracking,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Cracking,Longitudinal cracking,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Cracking,Longitudinal cracking,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Cracking,Longitudinal cracking,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Cracking,Longitudinal cracking,3,High,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Longitudinal cracking,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Transverse cracking,1,Low,Crack sealing,a,Rout and seal,3,5,4,Asphalt
Cracking,Transverse cracking,1,Low,Crack sealing,b,Clean and seal,3,5,4,Asphalt
Cracking,Transverse cracking,1,Low,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Transverse cracking,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Transverse cracking,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Transverse cracking,2,Medium,Crack sealing,a,Rout and seal,3,5,4,Asphalt
Cracking,Transverse cracking,2,Medium,Crack sealing,b,Clean and seal,3,5,4,Asphalt
Cracking,Transverse cracking,2,Medium,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Transverse cracking,2,Medium,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Transverse cracking,2,Medium,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Transverse cracking,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Transverse cracking,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Cracking,Transverse cracking,3,High,Filling,c,Asphalt emulsion,1,1,1,Asphalt
Cracking,Transverse cracking,3,High,Filling,d,Rubberised fillers,2,3,2.5,Asphalt
Cracking,Transverse cracking,3,High,Filling,e,Microsurfacing material,2,3,2.5,Asphalt
Cracking,Transverse cracking,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Transverse cracking,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Cracking,Transverse cracking,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Cracking,Transverse cracking,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Cracking,Transverse cracking,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Cracking,Transverse cracking,3,High,Sealing,l,Seal coat,3,6,4.5,Asphalt
Cracking,Transverse cracking,3,High,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Cracking,Transverse cracking,3,High,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Cracking,Transverse cracking,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Disintegration,Patch,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Disintegration,Patch,2,Medium,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Disintegration,Patch,2,Medium,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Disintegration,Patch,2,Medium,Patching,i,Spray injection,5,5,5,Asphalt
Disintegration,Patch,2,Medium,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
